order_id,customer_id,resturant_id,order_item,order_date,order_time,order_status,total_amount
183,96,76, Matar Paneer,21-02-2024,11:18:18,On Hold,219
184,72,48, Khaman,29-11-2024,20:03:52,On Hold,336
185,48,12, Gobi Paratha,24-01-2023,20:41:30,Completed,222
186,26,52, Khichdi,21-12-2023,17:20:16,Completed,295
187,39,8, Mysore Dosa,28-01-2024,11:38:39,Completed,396
188,59,95, Kadai Paneer,19-08-2024,19:41:26,Refunded,228
189,40,18, Patra,18-10-2023,11:38:00,Delivered,323
190,79,46, Masala Dosa,20-03-2023,16:57:22,Pending,344
191,26,44, Mysore Dosa,17-11-2023,11:15:28,Cancelled,270
192,48,62, Pindi Chole,29-06-2024,16:15:24,Refunded,288
193,26,52, Paneer Makhmali,27-12-2024,06:05:03,On Hold,238
194,44,1, Veg Hakka Noodles,31-12-2023,06:40:09,Returned,344
195,70,77, Dal Dhokli,16-04-2023,09:53:27,Processing,298
196,86,5, Aloo Tikki,23-11-2024,09:39:25,Delivered,324
197,45,77, Dal Makhani,28-04-2023,08:24:24,Delivered,286
198,63,38, Bhindi Masala,25-12-2023,08:47:11,Cancelled,233
199,37,95, Aloo Gobi,11-06-2024,17:42:31,Completed,394
200,40,47, Vegetable Kathi Roll,12-09-2023,20:35:43,Delivered,359
201,86,43, Uttapam,28-03-2024,18:23:22,Pending,221
202,26,29, Jackfruit Curry,26-01-2023,17:29:55,Completed,364
203,48,76, Tomato Rice,05-03-2024,13:51:29,Shipped,259
204,71,55, Tamarind Rice,27-12-2024,09:26:42,Processing,246
205,31,95, Rava Dosa,14-05-2023,17:34:42,Completed,307
206,88,48, Aloo Tikki,27-04-2024,20:42:55,Refunded,230
207,48,77, Aloo Paratha,23-07-2024,19:22:33,On Hold,429
208,88,26, Lauki Kofta,04-04-2024,21:52:36,Refunded,380
209,50,55, Veg Hakka Noodles,14-04-2023,09:08:43,Completed,363
210,72,64, Aloo Paratha,24-01-2023,15:35:47,Completed,231
211,16,80, Cabbage Poriyal,14-02-2024,11:54:20,Shipped,238
212,69,39, Veg Frankies,31-10-2023,06:22:44,Refunded,247
213,79,59, Veg Pakora,08-09-2023,11:23:47,Pending,343
214,45,91, Chana Masala,02-05-2024,22:21:18,Failed,216
215,26,98, Veg Seekh Kabab,15-03-2024,21:29:22,Processing,375
216,81,92, Bisibelebath,12-11-2023,22:03:42,Delivered,444
217,32,14, Pesarattu,14-05-2023,12:06:17,Delivered,401
218,41,69, Lauki Kofta,26-08-2024,17:45:30,Cancelled,426
219,69,46, Lemon Rice,24-10-2024,15:47:54,Completed,290
220,80,28, Rasam,03-10-2023,16:18:14,Processing,429
221,72,93, Uttapam,26-01-2023,19:56:37,Cancelled,288
222,48,22, Veg Samosa,28-10-2024,07:35:21,On Hold,321
223,67,82, Paneer Korma,23-02-2023,10:46:31,Failed,265
224,26,44, Tamarind Rice,06-08-2024,10:20:15,Delivered,221
225,45,88, Tamarind Rice,19-01-2024,16:24:50,Failed,349
226,22,52, Pav Bhaji,04-07-2024,20:53:03,Returned,426
227,23,31, Ragda Pattice,27-07-2024,19:14:55,Processing,215
228,14,13,Medu vada,01-11-2023,07:25:48,Refunded,365
229,26,63, Pongal,15-08-2023,20:11:30,Pending,385
230,99,94, Veg Frankies,01-06-2024,16:08:03,Shipped,338
231,46,28, Baingan Bharta,18-02-2023,20:53:55,On Hold,446
232,85,63, Pav Bhaji,25-07-2024,18:34:03,Processing,202
233,88,18, Pav Bhaji,13-06-2024,14:03:54,Completed,241
234,26,3,Medu vada,20-09-2024,09:51:41,On Hold,360
235,41,12, Rava Dosa,21-07-2023,08:44:28,Processing,430
236,48,62, Sev Puri,30-06-2024,15:04:36,Refunded,271
237,48,35, Rava Dosa,05-12-2023,15:14:54,Failed,431
238,9,36, Veg Momos,06-02-2023,17:23:32,Returned,229
239,8,87, Jackfruit Curry,26-03-2023,19:16:18,Pending,222
240,26,67, Bisibelebath,18-09-2023,16:40:40,Failed,224
241,48,32, Paneer Butter Masala,13-01-2023,16:16:22,Refunded,218
242,94,24, Mysore Dosa,28-02-2023,16:53:18,Returned,269
243,37,30, Aloo Paratha,14-01-2024,16:35:06,Delivered,377
244,68,39, Veg Kurma,12-02-2024,13:39:01,Refunded,243
245,88,69, Hara Bhara Kabab,31-01-2024,14:39:20,Delivered,329
246,48,33, Lauki Kofta,27-10-2023,18:02:01,Pending,217
247,85,20, Sheera,07-02-2023,15:23:21,Shipped,277
248,16,84, Sheera,16-07-2024,09:53:45,Processing,237
249,51,94, Baingan Bharta,10-01-2024,10:21:00,On Hold,225
250,18,49, Tomato Rice,31-12-2024,14:37:38,Completed,200
251,50,96, Veg Manchurian,27-01-2023,21:57:48,Pending,369
252,70,73, Pesarattu Upma,28-04-2024,14:21:07,Delivered,440
253,46,20, Jackfruit Curry,09-04-2024,21:12:14,Pending,244
254,26,66, Malai Kofta,07-03-2023,12:25:16,Failed,200
255,94,74, Veg Frankies,28-06-2023,18:08:47,Completed,208
256,51,8, Sheera,30-09-2023,17:27:05,Returned,379
257,30,38, Medu Vada,20-11-2023,06:17:54,Completed,297
258,26,24, Uttapam,27-01-2024,06:06:48,Shipped,293
259,26,76, Chana Masala,20-08-2023,18:59:44,Failed,345
260,48,63, Bhindi Masala,20-02-2024,11:59:18,Cancelled,244
261,64,69, Sev Puri,13-05-2024,20:47:29,Shipped,423
262,32,72, Dahi Puri,20-02-2023,20:54:02,Cancelled,379
263,23,98, Palak Paneer,18-05-2024,12:17:35,Processing,291
264,57,51, Mixed Veg Curry,20-05-2024,19:01:25,On Hold,435
265,38,33, Onion Bhaji,07-03-2023,15:53:31,Completed,335
266,64,47, Matar Paneer,16-06-2023,22:14:14,Returned,306
267,59,60, Dum Aloo,31-12-2024,17:13:21,Refunded,224
268,75,87, Baingan Bharta,07-04-2023,17:38:25,Cancelled,221
269,48,95, Beetroot Thoran,14-05-2023,09:03:12,Cancelled,401
270,69,88, Veg Manchurian,01-07-2024,07:39:28,Completed,321
271,50,11, Jackfruit Curry,31-08-2023,19:09:33,Completed,439
272,62,61, Dahi Puri,18-08-2023,20:17:25,Failed,385
273,78,70, Mixed Veg Curry,21-08-2024,12:43:15,On Hold,250
274,48,33, Mixed Veg Curry,19-11-2024,19:26:54,Returned,252
275,26,10, Rava Upma,20-06-2024,20:08:23,Returned,377
276,78,53, Medu Vada,07-05-2023,15:38:10,Completed,433
277,26,100, Sambar,04-03-2023,08:18:08,Shipped,263
278,62,91, Bhindi Masala,22-11-2023,12:44:33,Refunded,409
279,38,58, Baingan Masala,02-09-2023,13:33:53,Refunded,246
280,26,82, Malabar Parotta,31-08-2024,15:21:23,Refunded,284
281,43,55, Vegetable Kathi Roll,30-05-2023,17:33:37,Failed,219
282,20,64, Palak Paneer,29-03-2024,15:27:42,Refunded,355
283,26,73, Veg Samosa,07-01-2024,08:39:29,Shipped,228
284,99,27, Dhokla,13-06-2024,14:11:59,Shipped,330
285,81,88, Pesarattu Upma,10-09-2023,13:41:55,Completed,388
286,11,6, Paneer Korma,12-04-2024,10:51:09,Refunded,433
287,34,21, Cabbage Poriyal,28-03-2023,13:22:43,Completed,356
288,48,67, Baingan Masala,06-09-2023,16:31:16,Delivered,319
289,26,20, Dal Makhani,30-03-2023,17:06:27,Cancelled,212
290,59,17, Pesarattu,26-04-2024,22:15:57,On Hold,441
291,77,70, Veg Seekh Kabab,13-11-2024,16:12:56,Refunded,320
292,68,46, Jackfruit Curry,30-08-2023,18:00:06,Delivered,276
293,44,13,Medu vada,22-01-2023,21:43:27,On Hold,281
294,83,99, Dal Dhokli,26-07-2024,08:26:54,Completed,295
295,26,24, Khichdi,10-06-2024,10:56:30,Completed,274
296,72,10, Pesarattu Upma,26-01-2023,07:53:58,Cancelled,326
297,38,4, Veg Frankies,17-10-2023,17:02:56,Pending,309
298,52,99, Pindi Chole,13-09-2024,06:25:55,On Hold,213
299,26,41, Mysore Dosa,01-02-2023,21:33:21,Returned,304
300,88,99, Tomato Rice,27-05-2023,19:56:38,Refunded,443
301,54,94, Sheera,26-12-2023,22:08:56,On Hold,429
302,33,11, Khichdi,25-04-2023,09:36:10,Delivered,330
303,85,46, Idli,03-05-2024,17:58:10,Shipped,356
304,26,75, Aloo Gobi,04-10-2024,16:32:01,Delivered,310
305,18,36, Undhiyu,27-09-2023,08:57:30,On Hold,246
306,23,29, Veg Hakka Noodles,13-02-2024,12:52:38,Refunded,292
307,92,71, Pesarattu Upma,09-06-2024,12:28:21,Failed,390
308,79,23, Bhindi Masala,12-11-2023,17:06:04,Delivered,252
309,26,38, Aloo Gobi,04-02-2024,19:18:49,Refunded,294
310,83,81, Undhiyu,11-10-2023,14:40:15,Pending,384
311,44,68, Baingan Bharta,24-05-2024,09:26:34,Processing,421
312,17,23, Jeera Aloo,10-10-2024,10:27:06,Processing,215
313,40,66, Veg Frankies,13-07-2024,12:49:01,Delivered,289
314,38,75, Pongal,04-03-2023,11:23:00,Cancelled,246
315,26,99, Idli,06-04-2024,10:56:33,Completed,203
316,8,64, Masala Dosa,12-04-2023,11:44:35,Pending,299
317,52,44, Palak Paneer,10-03-2023,17:06:08,On Hold,432
318,17,14, Jackfruit Curry,25-01-2024,22:27:47,Pending,285
319,47,77, Pav Bhaji,17-05-2023,09:52:56,Cancelled,229
320,33,32, Avial,20-09-2023,08:07:38,Pending,392
321,48,94, Veg Samosa,12-04-2023,09:38:47,Shipped,215
322,75,22, Masala Dosa,02-03-2024,07:16:13,Refunded,399
323,17,77, Lemon Rice,19-12-2024,15:01:05,On Hold,385
324,26,31, Pani Puri,20-12-2023,13:40:07,Pending,388
325,26,67, Jeera Aloo,09-07-2024,06:59:13,Failed,235
326,48,43, Matar Paneer,14-11-2023,17:46:07,On Hold,425
327,57,33, Rajma Masala,25-08-2023,11:59:49,Failed,432
328,86,28, Uttapam,17-02-2024,13:04:59,On Hold,288
329,80,65, Lauki Kofta,03-04-2024,22:05:37,Completed,450
330,34,59, Dahi Puri,15-07-2023,20:56:30,Returned,347
331,26,28, Veg Hakka Noodles,23-02-2024,08:30:57,Delivered,277
332,11,38, Palak Paneer,18-12-2024,21:23:55,Completed,202
333,26,30, Hara Bhara Kabab,16-03-2024,22:10:37,Shipped,256
334,57,64, Veg Biryani,23-02-2024,09:53:20,Shipped,419
335,84,27, Bhel Puri,01-05-2023,19:30:02,On Hold,359
336,46,6, Pesarattu,04-05-2024,08:15:08,Pending,370
337,51,8, Lauki Kofta,02-06-2024,21:14:57,On Hold,249
338,23,40, Aloo Paratha,04-06-2024,14:13:32,Delivered,404
339,99,9, Patra,11-08-2023,17:57:21,Completed,450
340,26,13,Medu vada,05-01-2023,11:54:02,Delivered,408
341,45,57, Veg Pulao,31-05-2024,12:54:15,Refunded,228
342,81,61, Aloo Gobi,22-02-2023,11:03:00,Delivered,351
343,78,15, Dal Tadka,03-01-2023,22:11:47,Shipped,311
344,48,77, Khichdi,21-05-2024,11:25:50,Returned,345
345,47,35, Masoor Dal,17-08-2023,17:57:59,Delivered,315
346,48,39, Veg Hakka Noodles,27-07-2023,19:59:19,Refunded,293
347,26,39, Tomato Rice,09-04-2024,14:48:41,Shipped,423
348,92,71, Lemon Rice,06-10-2023,13:46:45,Cancelled,312
349,26,65, Matar Paneer,27-01-2024,08:54:46,Processing,226
350,9,20, Dal Dhokli,17-04-2024,14:28:19,Returned,271
351,26,12, Veg Frankies,18-08-2024,12:05:05,On Hold,226
352,67,100, Dhokla,19-06-2023,08:56:08,Shipped,351
353,50,24, Pindi Chole,17-02-2023,08:18:18,Completed,448
354,74,82, Pani Puri,24-12-2024,07:36:40,Processing,222
355,80,32, Dal Makhani,16-02-2024,17:17:43,Failed,394
356,63,13, Masala Dosa,01-11-2024,14:46:33,Returned,399
357,43,51, Paneer Butter Masala,24-10-2023,16:49:48,Refunded,214
358,86,60, Paneer Korma,30-12-2024,09:12:42,Processing,276
359,38,10, Veg Kurma,23-06-2023,10:47:06,Cancelled,334
360,16,59, Mixed Veg Curry,11-08-2024,14:46:33,On Hold,283
361,26,94, Rava Upma,01-06-2023,09:39:46,Processing,306
362,26,49, Rasam,28-05-2023,06:18:51,Completed,414
363,61,4, Khaman,26-02-2024,20:42:14,Refunded,250
364,85,46, Jeera Aloo,27-11-2024,20:25:15,Delivered,408
365,96,73, Pani Puri,08-04-2023,07:37:10,Pending,217
366,56,64, Pani Puri,02-06-2023,15:32:26,Shipped,337
367,26,7, Baingan Bharta,30-07-2024,16:09:06,Refunded,307
368,75,64, Malabar Parotta,14-07-2023,15:58:14,Pending,230
369,91,81, Bisibelebath,27-01-2024,14:13:23,Returned,249
370,26,90, Patra,04-11-2023,19:41:38,Refunded,376
371,22,7, Lauki Kofta,14-08-2024,09:45:05,Delivered,317
372,48,84, Cabbage Poriyal,10-01-2023,15:56:06,Shipped,403
373,78,53, Pongal,31-07-2024,17:20:01,On Hold,448
374,48,10, Lauki Kofta,08-07-2024,17:22:11,Delivered,269
375,44,54, Dal Dhokli,02-12-2023,13:38:16,Returned,435
376,26,68, Pani Puri,07-07-2024,21:21:00,On Hold,355
377,26,53, Pesarattu,13-10-2024,16:28:58,Pending,305
378,48,46, Onion Bhaji,17-09-2023,20:10:19,Cancelled,293
379,56,9, Vegetable Kathi Roll,16-04-2023,15:29:08,Refunded,259
380,74,51, Sambar,16-11-2024,21:57:05,Refunded,341
381,19,77, Idli,24-09-2023,07:31:51,Processing,228
382,48,57, Baingan Masala,26-12-2023,06:16:00,Shipped,226
383,22,8, Dhokla,18-01-2024,20:51:08,Processing,299
384,51,66, Chana Masala,01-06-2023,14:28:13,Completed,229
385,43,72, Malabar Parotta,08-08-2024,18:51:15,Delivered,280
386,46,61, Paneer Butter Masala,24-12-2023,07:38:43,On Hold,334
387,66,27, Veg Spring Roll,23-09-2024,12:37:26,Failed,261
388,77,47, Veg Pakora,04-04-2023,21:03:47,Processing,377
389,26,47, Sambar,25-03-2023,13:12:20,Delivered,385
390,26,13, Tamarind Rice,24-04-2024,09:52:30,Processing,379
391,25,41, Mysore Dosa,27-01-2024,18:58:00,On Hold,215
392,52,97, Pav Bhaji,23-09-2024,16:50:15,Refunded,328
393,85,77, Khichdi,20-07-2023,19:52:10,Cancelled,258
394,81,6, Mysore Dosa,20-11-2023,08:57:26,Delivered,285
395,46,49, Baingan Bharta,09-08-2023,18:38:03,Returned,289
396,62,45, Dhokla,30-07-2024,08:42:44,Refunded,419
397,51,99, Sheera,06-09-2023,10:49:40,Returned,278
398,80,66, Ragda Pattice,22-01-2024,17:11:14,Cancelled,370
399,26,79, Idli,22-02-2024,21:25:16,Pending,337
400,18,7, Bisibelebath,22-03-2024,20:51:51,Shipped,372
401,33,62, Medu Vada,07-09-2024,21:58:08,On Hold,209
402,17,22, Patra,21-03-2024,20:21:41,Completed,443
403,48,100, Beetroot Thoran,14-01-2024,15:16:26,Pending,212
404,26,98, Avial,29-03-2023,12:11:39,Pending,356
405,26,25, Handvo,22-09-2023,16:17:43,Failed,419
406,26,98, Chana Masala,16-01-2024,12:15:18,Processing,312
407,87,21, Idli,22-01-2024,11:30:21,Pending,368
408,31,14, Veg Seekh Kabab,14-11-2024,17:57:31,Completed,327
409,26,1, Mixed Veg Curry,15-12-2024,21:18:33,Completed,422
410,48,42, Pesarattu,10-07-2023,14:08:00,Processing,286
411,18,29, Veg Hakka Noodles,07-02-2023,08:33:21,Refunded,270
412,91,35, Bisibelebath,11-04-2024,18:28:46,Processing,281
